"tconst","primaryTitle","genres","startYear","runtimeMinutes","averageRating","numVotes"
tt6710474,Everything Everywhere All at Once,"Action,Adventure,Comedy",2022,139,7.8,548567
tt1270797,Venom,"Action,Adventure,Sci-Fi",2018,112,6.6,547906
tt0458525,X-Men Origins: Wolverine,"Action,Sci-Fi",2009,107,6.5,542835
tt2872732,Lucy,"Action,Sci-Fi,Thriller",2014,89,6.4,541363
tt1411697,The Hangover Part II,Comedy,2011,102,6.5,541215
tt0425112,Hot Fuzz,"Action,Comedy,Mystery",2007,121,7.8,541017
tt0087469,Indiana Jones and the Temple of Doom,"Action,Adventure",1984,118,7.5,540592
tt0367594,Charlie and the Chocolate Factory,"Adventure,Comedy,Family",2005,115,6.7,536041
tt1663662,Pacific Rim,"Action,Adventure,Sci-Fi",2013,131,6.9,535917
tt0314331,Love Actually,"Comedy,Drama,Romance",2003,135,7.6,535514
tt0206634,Children of Men,"Action,Drama,Sci-Fi",2006,109,7.9,535344
tt1229238,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",2011,132,7.4,532881
tt0441773,Kung Fu Panda,"Action,Adventure,Animation",2008,92,7.6,531425
tt0099487,Edward Scissorhands,"Drama,Fantasy,Romance",1990,105,7.9,530510
tt0800080,The Incredible Hulk,"Action,Adventure,Sci-Fi",2008,112,6.6,529824
tt0047396,Rear Window,"Mystery,Thriller",1954,112,8.5,529113
tt0289879,The Butterfly Effect,"Drama,Sci-Fi,Thriller",2004,113,7.6,526766
tt0268380,Ice Age,"Adventure,Animation,Comedy",2002,81,7.5,526708
tt0790636,Dallas Buyers Club,"Biography,Drama",2013,117,7.9,524190
tt0449059,Little Miss Sunshine,"Comedy,Drama",2006,101,7.8,523868
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy,War",1964,95,8.3,523378
tt1979320,Rush,"Action,Biography,Drama",2013,123,8.1,520119
tt1790864,The Maze Runner,"Action,Mystery,Sci-Fi",2014,113,6.8,519027
tt0448157,Hancock,"Action,Comedy,Drama",2008,92,6.4,517212
tt0119116,The Fifth Element,"Action,Adventure,Sci-Fi",1997,126,7.6,513387
tt0298148,Shrek 2,"Adventure,Animation,Comedy",2004,93,7.3,512820
tt3183660,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,132,7.2,512729
tt0092099,Top Gun,"Action,Drama",1986,109,6.9,511189
tt2245084,Big Hero 6,"Action,Adventure,Animation",2014,102,7.8,510747
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",2014,123,6.6,510040
tt1630029,Avatar: The Way of Water,"Action,Adventure,Fantasy",2022,192,7.5,508007
tt1895587,Spotlight,"Biography,Crime,Drama",2015,129,8.1,506787
tt15239678,Dune: Part Two,"Action,Adventure,Drama",2024,166,8.5,505069
tt0038650,It's a Wonderful Life,"Drama,Family,Fantasy",1946,130,8.6,504534
tt1800241,American Hustle,"Crime,Drama",2013,138,7.2,503618
tt0398286,Tangled,"Adventure,Animation,Comedy",2010,100,7.7,503037
tt1291584,Warrior,"Action,Drama,Sport",2011,140,8.1,502552
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,"Action,Adventure,Fantasy",2019,141,6.4,501759
tt1430132,The Wolverine,"Action,Sci-Fi",2013,126,6.7,501302
tt0362227,The Terminal,"Comedy,Drama,Romance",2004,128,7.4,501163
tt1568346,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",2011,158,7.8,500909
tt1408101,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",2013,132,7.7,499267
tt1454029,The Help,Drama,2011,146,8.1,499090
tt1535109,Captain Phillips,"Action,Biography,Crime",2013,134,7.8,497479
tt0335266,Lost in Translation,"Comedy,Drama",2003,102,7.7,497294
tt1677720,Ready Player One,"Action,Adventure,Sci-Fi",2018,140,7.4,495685
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure",2008,122,6.2,495188
tt1596363,The Big Short,"Biography,Comedy,Drama",2015,130,7.8,493008
tt1723121,We're the Millers,"Comedy,Crime",2013,110,7.0,492809
tt1099212,Twilight,"Drama,Fantasy,Romance",2008,122,5.3,492437
tt1950186,Ford v Ferrari,"Action,Biography,Drama",2019,152,8.1,491983
