"tconst","primaryTitle","startYear","runtimeMinutes","averageRating","numVotes"
tt1291584,Warrior,2011,140,8.1,502552
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,141,6.4,501759
tt1430132,The Wolverine,2013,126,6.7,501302
tt0362227,The Terminal,2004,128,7.4,501163
tt1568346,The Girl with the Dragon Tattoo,2011,158,7.8,500909
tt1408101,Star Trek Into Darkness,2013,132,7.7,499267
tt1454029,The Help,2011,146,8.1,499090
tt1535109,Captain Phillips,2013,134,7.8,497479
tt0335266,Lost in Translation,2003,102,7.7,497294
tt1677720,Ready Player One,2018,140,7.4,495685
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,122,6.2,495188
tt1596363,The Big Short,2015,130,7.8,493008
tt1723121,We're the Millers,2013,110,7.0,492809
tt1099212,Twilight,2008,122,5.3,492437
tt1950186,Ford v Ferrari,2019,152,8.1,491983
tt0372183,The Bourne Supremacy,2004,108,7.7,491337
tt0327056,Mystic River,2003,138,7.9,491140
tt9419884,Doctor Strange in the Multiverse of Madness,2022,126,6.9,489820
tt2103281,Dawn of the Planet of the Apes,2014,130,7.6,489573
tt0099088,Back to the Future Part III,1990,118,7.4,487377
tt2980516,The Theory of Everything,2014,123,7.7,486309
tt3397884,Sicario,2015,121,7.7,485905
tt1515091,Sherlock Holmes: A Game of Shadows,2011,129,7.4,484718
tt0101414,Beauty and the Beast,1991,84,8.0,483725
tt0319262,The Day After Tomorrow,2004,124,6.5,482577
tt0974015,Justice League,2017,120,6.1,482496
tt0407304,War of the Worlds,2005,116,6.5,480220
tt0317219,Cars,2006,116,7.2,480213
tt0458352,The Devil Wears Prada,2006,109,6.9,479874
tt0139654,Training Day,2001,122,7.7,479815
tt0217505,Gangs of New York,2002,167,7.5,477777
tt0325710,The Last Samurai,2003,154,7.8,476769
tt0117060,Mission: Impossible,1996,110,7.2,475897
tt0084787,The Thing,1982,109,8.2,475334
tt0103639,Aladdin,1992,90,8.0,475266
tt1535108,Elysium,2013,109,6.6,474671
tt0830515,Quantum of Solace,2008,106,6.5,474508
tt0387564,Saw,2004,103,7.6,473770
tt0405422,The 40-Year-Old Virgin,2005,116,7.1,473477
tt1499658,Horrible Bosses,2011,98,6.9,472927
tt1210166,Moneyball,2011,133,7.6,471843
tt0446029,Scott Pilgrim vs. the World,2010,112,7.6,470637
tt0033467,Citizen Kane,1941,119,8.3,470175
tt0120616,The Mummy,1999,124,7.1,468003
tt0780536,In Bruges,2008,107,7.9,466635
